UF,Grau Instrucao,Admitidos,Desligados,Total
 Rio de Janeiro,Analfabeto,192,146,338
 Rio de Janeiro,Fundamental Completo,5198,4758,9956
 Rio de Janeiro,Médio Incompleto,3712,3121,6833
 Rio de Janeiro,Médio Completo,27362,22594,49956
 Rio de Janeiro,Superior Incompleto,1491,1311,2802
 Rio de Janeiro,Superior Completo,5240,6031,11271
 Sao Paulo,Total,136456,116676,253132
 Sao Paulo,Analfabeto,467,318,785
 Sao Paulo,Fundamental Completo,12505,12827,25332
 Sao Paulo,Médio Incompleto,10046,9099,19145
 Sao Paulo,Médio Completo,93230,76897,170127
 Sao Paulo,Superior Incompleto,4588,3799,8387
 Sao Paulo,Superior Completo,15620,13736,29356
 Parana,Total,26348,22568,48916
 Parana,Analfabeto,108,76,184
 Parana,Fundamental Completo,3033,2619,5652
 Parana,Médio Incompleto,2605,2428,5033
 Parana,Médio Completo,17322,14576,31898
 Parana,Superior Incompleto,1046,913,1959
 Parana,Superior Completo,2234,1956,4190
 Santa Catarina,Total,17454,15205,32659
 Santa Catarina,Analfabeto,93,98,191
 Santa Catarina,Fundamental Completo,1700,1626,3326
 Santa Catarina,Médio Incompleto,1523,1395,2918
 Santa Catarina,Médio Completo,11055,9451,20506
 Santa Catarina,Superior Incompleto,936,806,1742
 Santa Catarina,Superior Completo,2147,1829,3976
 Rio Grande do Sul,Total,18510,16087,34597
 Rio Grande do Sul,Analfabeto,51,44,95
 Rio Grande do Sul,Fundamental Completo,2346,1911,4257
 Rio Grande do Sul,Médio Incompleto,1737,1420,3157
 Rio Grande do Sul,Médio Completo,12018,10622,22640
 Rio Grande do Sul,Superior Incompleto,874,842,1716
 Rio Grande do Sul,Superior Completo,1484,1248,2732
 Mato Grosso do Sul,Total,11640,10595,22235
 Mato Grosso do Sul,Analfabeto,47,64,111
 Mato Grosso do Sul,Fundamental Completo,1169,1363,2532
 Mato Grosso do Sul,Médio Incompleto,1429,1123,2552
 Mato Grosso do Sul,Médio Completo,7863,7103,14966
 Mato Grosso do Sul,Superior Incompleto,360,301,661
 Mato Grosso do Sul,Superior Completo,772,641,1413
 Mato Grosso,Total,13563,11814,25377
 Mato Grosso,Analfabeto,97,93,190
 Mato Grosso,Fundamental Completo,1287,1232,2519
 Mato Grosso,Médio Incompleto,1602,1497,3099
 Mato Grosso,Médio Completo,9166,7820,16986
 Mato Grosso,Superior Incompleto,404,397,801
 Mato Grosso,Superior Completo,1007,775,1782
 Goias,Total,24981,19425,44406
 Goias,Analfabeto,181,138,319
 Goias,Fundamental Completo,3315,1996,5311
 Goias,Médio Incompleto,2450,1892,4342
 Goias,Médio Completo,16593,13525,30118
 Goias,Superior Incompleto,747,524,1271
 Goias,Superior Completo,1695,1350,3045
 Distrito Federal,Total,21741,16105,37846
 Distrito Federal,Analfabeto,70,41,111
 Distrito Federal,Fundamental Completo,1820,1498,3318
 Distrito Federal,Médio Incompleto,1571,1282,2853
 Distrito Federal,Médio Completo,14605,10673,25278
 Distrito Federal,Superior Incompleto,1013,709,1722
 Distrito Federal,Superior Completo,2662,1902,4564
